name,type,degree
The Young Victoria,电影,22
Jim Broadbent,演员,22
Sigourney Weaver,演员,22
Aliens,电影,22
Congo,电影,22
Elysium,电影,22
Leonardo DiCaprio,演员,22
The Proposition,电影,22
Bronson,电影,22
Priest,电影,22
George,关键词,22
Carrie,电影,22
Miracle,电影,22
Jeff Bridges,演员,22
Maurice,电影,22
Gene Hackman,演员,22
Nothing,电影,22
James Franco,演员,22
Jack Black,演员,22
Batman v Superman: Dawn of Justice,电影,22
Hong Kong,国家,22
H.,电影,22
Kevin Spacey,演员,22
1980年,年份,22
Michael Caine,演员,22
Anne Hathaway,演员,22
Al Pacino,演员,21
Journey to Saturn,电影,21
John C. Reilly,演员,21
Dracula,电影,21
Airborne,电影,21
Wonderland,电影,21
Margaret,电影,21
Titanic,电影,21
1941,电影,21
42,电影,21
Peter,关键词,21
Will Smith,演员,21
Justin Long,演员,21
The Man,电影,21
One Man's Hero,电影,21
Aliens in the Attic,电影,21
Woodstock,电影,21
xXx: State of the Union,电影,21
Jennifer Aniston,演员,21
Jake Gyllenhaal,演员,21
Danny Glover,演员,21
Babe,电影,21
Cadillac Records,电影,21
Dwayne Johnson,演员,21
Control,电影,21
Joy,电影,21
Brothers,电影,21
Gangster Squad,电影,21
Mike,关键词,21
Tora! Tora! Tora!,电影,21
Burn,电影,21
Kevin Bacon,演员,21
Hercules,电影,21
Hook,电影,21
Seth Rogen,演员,21
Colin Farrell,演员,21
Ben Kingsley,演员,21
Riddick,电影,21
Madagascar 3: Europe's Most Wanted,电影,21
Hugo,电影,21
47 Ronin,电影,21
Rush,电影,21
Made,电影,21
4.2分,评分值,21
Ethan Hawke,演员,21
Christopher Walken,演员,21
John Malkovich,演员,21
Kirsten Dunst,演员,21
Superman II,电影,21
The Dark Knight,电影,21
African,关键词,21
New Zealand,国家,21
Brave,电影,21
Amy Adams,演员,21
David,关键词,20
High School Musical 2,电影,20
Twilight Zone: The Movie,电影,20
Dan Aykroyd,演员,20
Valentine,电影,20
The Messenger: The Story of Joan of Arc,电影,20
Hoodwinked!,电影,20
Hitman,电影,20
Ice Cube,演员,20
Jason Bateman,演员,20
Tuck Everlasting,电影,20
The Legend of Hell's Gate: An American Conspiracy,电影,20
Charlie,关键词,20
Radio,电影,20
Train,电影,20
Spy Kids: All the Time in the World,电影,20
Munich,电影,20
High School Musical,电影,20
Cube,电影,20
Armageddon,电影,20
Aladdin,电影,20
Chloe,电影,20
Alpha and Omega: The Legend of the Saw Tooth Cave,电影,20
Honey,电影,20
Anonymous,电影,20
Saint Ralph,电影,20
Dave Chappelle's Block Party,电影,20
Blade: Trinity,电影,20
Jennifer Lopez,演员,20
Bad Boys II,电影,20
In the Heart of the Sea,电影,20
Monsters,电影,20
Justin Bieber: Never Say Never,电影,20
Spider-Man 2,电影,20
Paris,关键词,20
Edward Norton,演员,20
Thirteen,电影,20
Spawn,电影,20
Martin Scorsese,导演,20
Wild Wild West,电影,20
Wreck-It Ralph,电影,20
Annie Get Your Gun,电影,20
John Hurt,演员,20
The Order,电影,20
Bolt,电影,20
Laurence Fishburne,演员,20
The General's Daughter,电影,20
Trade,电影,20
World Trade Center,电影,20
Jackie Chan,演员,20
William H. Macy,演员,20
Amistad,电影,20
Escape from Planet Earth,电影,20
Vessel,电影,20
Aliens vs Predator: Requiem,电影,20
Reese Witherspoon,演员,20
Gwyneth Paltrow,演员,20
Moon,电影,20
Dennis Quaid,演员,20
Tyler Perry,演员,20
The Limey,电影,20
Oscar and Lucinda,电影,20
John Leguizamo,演员,20
Charlie's Angels,电影,20
Sean Penn,演员,20
Blade,电影,20
The Amazing Spider-Man,电影,20
The Missing Person,电影,20
Meteor,电影,20
Warrior,电影,20
Philadelphia,电影,20
Superman Returns,电影,20
Young Sherlock Holmes,电影,20
Predator,电影,20
W.,电影,20
Aaron Eckhart,演员,20
Jonah: A VeggieTales Movie,电影,20
Jimmy Neutron: Boy Genius,电影,20
Naomi Watts,演员,20
Pandaemonium,电影,20
Joyeux Noël,电影,20
Superman IV: The Quest for Peace,电影,20
Avengers: Age of Ultron,电影,19
Natalie Portman,演员,19
Southland Tales,电影,19
Firefox,电影,19
Darling Lili,电影,19
The Midnight Meat Train,电影,19
Spider,电影,19
Captain,关键词,19
The Avengers,电影,19
Elite Squad,电影,19
AVP: Alien vs. Predator,电影,19
The Good German,电影,19
Irish,关键词,19
Shaft,电影,19
After Earth,电影,19
2012,电影,19
Thunderbirds,电影,19
Gods and Generals,电影,19
Stonewall,电影,19
Twilight,电影,19
Tombstone,电影,19
Now You See Me 2,电影,19
The Saint,电影,19
Takers,电影,19
Superstar,电影,19
The Haunted Mansion,电影,19
The Musketeer,电影,19
Robert,关键词,19
Buffalo Soldiers,电影,19
The Pink Panther,电影,19
Red Tails,电影,19
Bound,电影,19
Return to Me,电影,19
Captain America: The Winter Soldier,电影,19
Recess: School's Out,电影,19
Centurion,电影,19
Flyboys,电影,19
Roll Bounce,电影,19
Monty Python and the Holy Grail,电影,19
Focus,电影,19
Faster,电影,19
The Thief and the Cobbler,电影,19
Steve Carell,演员,19
Final Fantasy: The Spirits Within,电影,19
Underworld: Rise of the Lycans,电影,19
Something Borrowed,电影,19
Henry V,电影,19
The Last Airbender,电影,19
U.F.O.,电影,19
Mirror Mirror,电影,19
Cat People,电影,19
Surf's Up,电影,19
VeggieTales: The Pirates Who Don't Do Anything,电影,19
Free State of Jones,电影,19
Joan Cusack,演员,19
Stargate: The Ark of Truth,电影,19
United 93,电影,19
Ryan Reynolds,演员,19
The Amazing Spider-Man 2,电影,19
Jamie Foxx,演员,19
Transformers,电影,19
Super 8,电影,19
Undercover Brother,电影,19
Capote,电影,19
Pompeii,电影,19
Diane Keaton,演员,19
Minions,电影,19
Brendan Gleeson,演员,19
Dragonball Evolution,电影,19
The Walk,电影,19
The Imitation Game,电影,19
The Gunman,电影,19
Mad Max 2: The Road Warrior,电影,19
Casablanca,电影,19
The Last of the Mohicans,电影,19
"The Good, The Bad, The Weird",电影,19
Cars,电影,19
Bernie,电影,19
Jade,电影,19
The Wild Bunch,电影,19
Planet 51,电影,19
Star Trek: Nemesis,电影,19
Walking With Dinosaurs,电影,19
Bullets Over Broadway,电影,19
High School Musical 3: Senior Year,电影,19
Monsters vs Aliens,电影,19
The Train,电影,19
Stiff Upper Lips,电影,19
The Dark Hours,电影,19
