name,type,degree
Zac Efron,演员,12
Poolhall Junkies,电影,12
The Virginity Hit,电影,12
This Thing of Ours,电影,12
Chris Pine,演员,12
Antwone Fisher,电影,12
Domestic Disturbance,电影,12
Filly Brown,电影,12
Slither,电影,12
Hot Pursuit,电影,12
Animals United,电影,12
Little Nicholas,电影,12
Jeff Goldblum,演员,12
Knight and Day,电影,12
Emile Hirsch,演员,12
Tumbleweeds,电影,12
Mutant World,电影,12
The 5th Quarter,电影,12
200 Cigarettes,电影,12
Novocaine,电影,12
Nothing But a Man,电影,12
Rotor DR1,电影,12
Def-Con 4,电影,12
Layer Cake,电影,12
Jessica Chastain,演员,12
Quinceañera,电影,12
Dogtown and Z-Boys,电影,12
Inkheart,电影,12
The Invention of Lying,电影,12
The Amityville Horror,电影,12
The Algerian,电影,12
Dressed to Kill,电影,12
Stephen Rea,演员,12
Twixt,电影,12
Da Sweet Blood of Jesus,电影,12
We're the Millers,电影,12
Home Run,电影,12
Bats,电影,12
The East,电影,12
Mi America,电影,12
The Prestige,电影,12
One Missed Call,电影,12
Shallow Hal,电影,12
Final Destination,电影,12
Desire,电影,12
The Wicked Within,电影,12
The Blade of Don Juan,电影,12
U2 3D,电影,12
Deck the Halls,电影,12
Faithful,电影,12
Michael Bay,导演,12
Shia LaBeouf,演员,12
Silent House,电影,12
[REC],电影,12
The Timber,电影,12
Dinosaur,电影,12
Small Time Crooks,电影,12
20 Feet from Stardom,电影,12
Zach Galifianakis,演员,12
Who Killed the Electric Car?,电影,12
Heist,电影,12
Abduction,电影,12
The Devil Inside,电影,12
Babel,电影,12
Over the Hedge,电影,12
Dude Where's My Dog?,电影,12
The Work and The Story,电影,12
Resurrecting the Champ,电影,12
Antibirth,电影,12
Christmas Mail,电影,12
Midnight Cowboy,电影,12
The Beyond,电影,12
Love in the Time of Monsters,电影,12
Dead Man's Shoes,电影,12
Left Behind,电影,12
Prom Night,电影,12
The Sleepwalker,电影,12
The Ides of March,电影,12
The Crew,电影,12
The Score,电影,12
An Inconvenient Truth,电影,12
Next Stop Wonderland,电影,12
Cry_Wolf,电影,12
The Howling,电影,12
Logan Lerman,演员,12
The Long Riders,电影,12
Show Me,电影,12
James Woods,演员,12
Ed Wood,电影,12
Mongol: The Rise of Genghis Khan,电影,12
And So It Goes,电影,12
The Sentinel,电影,12
Shaolin Soccer,电影,12
Bucky Larson: Born to Be a Star,电影,12
Crash,电影,12
Anna Kendrick,演员,12
Vampires Suck,电影,12
Mad City,电影,12
Black Snake Moan,电影,12
Into the Woods,电影,12
The Grudge 2,电影,12
Freddie Prinze Jr.,演员,12
I Got the Hook Up,电影,12
Now Is Good,电影,12
J.K. Simmons,演员,12
Detention of the Dead,电影,12
Two Girls and a Guy,电影,12
Blue Car,电影,12
The Wave,电影,12
Meg Ryan,演员,12
Masked and Anonymous,电影,12
The Descent,电影,12
Desperado,电影,12
Hall Pass,电影,12
Christian Slater,演员,12
Hesher,关键词,12
The Unborn,电影,12
South Korea,国家,12
Subconscious,电影,12
Escape from the Planet of the Apes,电影,12
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,电影,12
The Station Agent,电影,12
Dead Poets Society,电影,12
Sydney White,电影,12
Road Trip,电影,12
Midnight Special,电影,12
The Jimmy Show,电影,12
Valley of the Heart's Delight,电影,12
The Spectacular Now,电影,12
Elias Koteas,演员,12
The Secret,电影,12
The Masked Saint,电影,12
Troll Hunter,电影,12
2:13,电影,12
Premonition,电影,12
The Shallows,电影,12
Harriet the Spy,电影,12
Child's Play 2,电影,12
Snow Day,电影,12
Yes Man,电影,12
Supporting Characters,电影,12
Mark Strong,演员,12
The Night Visitor,电影,12
While We're Young,电影,12
Daryl Hannah,演员,12
The Royal Tenenbaums,电影,12
Identity,电影,12
Hostel: Part II,电影,12
Self/less,电影,12
Blood and Wine,电影,12
The Butterfly Effect,电影,12
Benji,电影,12
Jada Pinkett Smith,演员,12
A Civil Action,电影,12
High Heels and Low Lifes,电影,12
A Fine Step,电影,12
Charly,电影,12
L!fe Happens,电影,12
ZMD: Zombies of Mass Destruction,电影,12
Music and Lyrics,电影,12
Duplex,电影,12
Metallica: Through the Never,电影,12
This Is 40,电影,12
The Cell,电影,12
Love Letters,电影,12
The Maid's Room,电影,12
Open Water,电影,12
Time to Choose,电影,12
Jesus' Son,电影,12
Echo Dr.,电影,12
Open Secret,电影,12
Queen Crab,电影,12
Peeples,电影,12
Air Force One,电影,12
Beginners,电影,12
Wuthering Heights,电影,12
Mary Steenburgen,演员,12
Charlie Sheen,演员,12
Lisa Picard Is Famous,电影,12
Taxi to the Dark Side,电影,12
Jimmy and Judy,电影,12
Tim Roth,演员,12
Me Before You,电影,12
Diane Lane,演员,12
Sam Elliott,演员,12
Vietnam,关键词,12
Fish Tank,电影,12
The Divide,电影,12
Brian De Palma,导演,12
A History of Violence,电影,12
Stories of Our Lives,电影,12
A Separation,电影,12
Mr. Peabody & Sherman,电影,12
Elmer Gantry,电影,12
Woman Thou Art Loosed,电影,12
Phat Girlz,电影,12
Chicago Overcoat,电影,12
Metropolis,电影,12
Michael Shannon,演员,12
Breakin' All the Rules,电影,12
Boiler Room,电影,12
Child's Play,电影,12
Broken Vessels,电影,12
Bled,电影,12
Blades of Glory,电影,12
Gone Girl,电影,12
Jean Reno,演员,12
Téa Leoni,演员,12
Eric Bana,演员,12
Stand by Me,电影,12
Splash,电影,12
The Lost Boys,电影,12
Notes on a Scandal,电影,12
My Sister's Keeper,电影,12
Donnie Brasco,电影,12
David Koechner,演员,12
Side Effects,电影,12
Say It Isn't So,电影,12
Giovanni Ribisi,演员,12
The Ruins,电影,12
Angel Eyes,电影,12
Fly Me to the Moon,电影,12
Doogal,关键词,12
Tom Hardy,演员,12
The Incredible Burt Wonderstone,电影,12
No Escape,电影,12
The Beastmaster,电影,12
A Time to Kill,电影,12
Emily Watson,演员,12
Grandma's Boy,电影,12
Jeremy Irons,演员,12
Into the Storm,电影,12
Fatal Attraction,电影,12
Urban Legend,电影,12
Big Daddy,电影,12
Wanderlust,电影,12
Smiling Fish & Goat On Fire,电影,12
A True Story,电影,12
Khumba,电影,12
In the Company of Men,电影,12
The Bad News Bears,电影,12
The Island of Dr. Moreau,电影,12
Final Destination 5,电影,12
Michael Clayton,电影,12
Extremely Loud & Incredibly Close,电影,12
Creature,电影,12
Delivery Man,电影,12
Son of God,电影,11
This Is Martin Bonner,电影,11
George Washington,电影,11
The Legend of God's Gun,电影,11
Matt,关键词,11
A Haunted House,电影,11
Boat Trip,电影,11
Mutual Appreciation,电影,11
Timber Falls,电影,11
The Quick and the Dead,电影,11
Kevin Hart: Laugh at My Pain,电影,11
Trapeze,电影,11
Civil,关键词,11
Erin Brockovich,电影,11
Promised Land,电影,11
Will Arnett,演员,11
American Graffiti,电影,11
The Young Unknowns,电影,11
Michael Sheen,演员,11
The Night Listener,电影,11
Jim Caviezel,演员,11
The Best Man Holiday,电影,11
It's Kind of a Funny Story,电影,11
Anomalisa,电影,11
Six,关键词,11
The Conformist,电影,11
Hustle & Flow,电影,11
Close Range,电影,11
I Heart Huckabees,电影,11
Anton Yelchin,演员,11
The Place Beyond the Pines,电影,11
Womb,电影,11
Mila Kunis,演员,11
P.S. I Love You,电影,11
Message in a Bottle,电影,11
Andy,关键词,11
For Love of the Game,电影,11
The Gallows,电影,11
Freddy Got Fingered,电影,11
The Man with the Iron Fists,电影,11
About Last Night,电影,11
Bride Wars,电影,11
Rounders,电影,11
Top Five,电影,11
All About Steve,电影,11
Two Lovers,电影,11
Sparkler,电影,11
The Perfect Host,电影,11
Darling Companion,电影,11
Welcome to Collinwood,电影,11
Luis Guzmán,演员,11
Obvious Child,电影,11
Lucy Liu,演员,11
Martin Landau,演员,11
You Can Count on Me,电影,11
Pacific,关键词,11
The Face of an Angel,电影,11
The Best of Me,电影,11
Khiladi 786,电影,11
Jena Malone,演员,11
Superbad,电影,11
Blended,电影,11
Escape from Tomorrow,电影,11
Insidious,电影,11
Nine 1/2 Weeks,电影,11
William Shatner,演员,11
The House of Sand,电影,11
Lena Headey,演员,11
House at the End of the Street,电影,11
Dark City,电影,11
Chris,关键词,11
Justin Timberlake,演员,11
The Watch,电影,11
Invaders from Mars,电影,11
Ryan Phillippe,演员,11
Joel Edgerton,演员,11
Scott,关键词,11
Marcus,关键词,11
The Hudsucker Proxy,电影,11
Demonic,电影,11
Tim and Eric's Billion Dollar Movie,电影,11
Queen,关键词,11
Playing for Keeps,电影,11
The Longest Ride,电影,11
James Gandolfini,演员,11
Catherine O'Hara,演员,11
Arbitrage,电影,11
At First Sight,电影,11
Mean Streets,电影,11
Elisabeth Shue,演员,11
No End in Sight,电影,11
Billy Crudup,演员,11
Circumstance,电影,11
Dan,关键词,11
The Hotel New Hampshire,电影,11
Endless Love,电影,11
Holy Motors,电影,11
Let's Go to Prison,电影,11
Cats & Dogs 2 : The Revenge of Kitty Galore,电影,11
Treachery,电影,11
The Prince,电影,11
Mel Brooks,导演,11
The 6th Day,电影,11
Futuro Beach,电影,11
Barbarella,电影,11
Heavy Metal,电影,11
American Heist,电影,11
Adventureland,电影,11
Thomas,关键词,11
The Texas Chain Saw Massacre,电影,11
Jeffrey Wright,演员,11
Bulworth,电影,11
Unfinished Business,电影,11
Reality Show,电影,11
Compadres,电影,11
Ghost World,电影,11
Standing Ovation,电影,11
Headhunters,电影,11
The Ten,电影,11
Richard Donner,导演,11
The Virgin Suicides,电影,11
Identity Thief,电影,11
Paddy Considine,演员,11
Simon,关键词,11
Miss March,电影,11
Seven Samurai,电影,11
Never Again,电影,11
The R.M.,电影,11
Kiss the Bride,电影,11
Danny Huston,演员,11
Jonathan Rhys Meyers,演员,11
The Big Short,电影,11
Shawn Levy,导演,11
The Shaggy Dog,电影,11
Dysfunctional Friends,电影,11
A Beginner's Guide to Snuff,电影,11
The Wailing,电影,11
Igby Goes Down,电影,11
Copycat,电影,11
This Is Where I Leave You,电影,11
ATL,电影,11
"McFarland, USA",电影,11
Lesbian Vampire Killers,电影,11
Small Apartments,电影,11
Kevin James,演员,11
The Lost Medallion: The Adventures of Billy Stone,电影,11
Freaky Deaky,电影,11
America's Sweethearts,电影,11
Edtv,电影,11
Employee of the Month,电影,11
Juwanna Mann,电影,11
Hachi: A Dog's Tale,电影,11
Moonlight Mile,电影,11
The Last Shot,电影,11
Misconduct,电影,11
Jared Leto,演员,11
Give Me Shelter,电影,11
The Frozen,电影,11
Sunday School Musical,电影,11
A Funny Thing Happened on the Way to the Forum,电影,11
Mission to Mars,电影,11
Swing Vote,电影,11
Freedom Writers,电影,11
Thandie Newton,演员,11
Jamie Lee Curtis,演员,11
"Definitely, Maybe",电影,11
Eddie: The Sleepwalking Cannibal,电影,11
The Celebration,电影,11
Good Intentions,电影,11
Eulogy,电影,11
Janky Promoters,电影,11
Barbecue,电影,11
The Hours,电影,11
Robert Patrick,演员,11
Welcome to the Dollhouse,电影,11
Childless,电影,11
Rene Russo,演员,11
The Giver,电影,11
Hayden Christensen,演员,11
Arthur,关键词,11
Oceans,电影,11
Paula Patton,演员,11
Ben Foster,演员,11
Mike Myers,演员,11
Stealth,电影,11
Gods of Egypt,电影,11
Pulse,电影,11
Brittany Murphy,演员,11
Chris Cooper,演员,11
Love and Other Catastrophes,电影,11
Viola Davis,演员,11
Edward,关键词,11
Out of Inferno,电影,11
Driving Lessons,电影,11
Hanging Up,电影,11
The Sweet Hereafter,电影,11
Be Kind Rewind,电影,11
Wes Craven,演员,11
Moms' Night Out,电影,11
Requiem for a Dream,电影,11
The Hit List,电影,11
Dwegons,电影,11
Rabbit Hole,电影,11
Light Sleeper,电影,11
90 Minutes in Heaven,电影,11
Jean,关键词,11
Cedar Rapids,电影,11
Tammy,电影,11
Jet Li,演员,11
Nowhere Boy,电影,11
The Big Swap,电影,11
A Better Life,电影,11
Peaceful Warrior,电影,11
The House of Mirth,电影,11
Jennifer's Body,电影,11
Heath Ledger,演员,11
One True Thing,电影,11
Midnight Cabaret,电影,11
Exam,电影,11
A Million Ways to Die in the West,电影,11
Frances McDormand,演员,11
The Gift,电影,11
Tupac: Resurrection,电影,11
51 Birch Street,电影,11
Maniac,电影,11
Fight to the Finish,电影,11
The Joneses,电影,11
Blue Ruin,电影,11
Joel Coen,导演,11
Christopher Lloyd,演员,11
The Boss,电影,11
The Greatest Movie Ever Sold,电影,11
Higher Ground,电影,11
Little,关键词,11
The Possession,电影,11
Abandoned,电影,11
ABCD (Any Body Can Dance),电影,11
Medicine Man,电影,11
Deadline - U.S.A.,电影,11
Underclassman,电影,11
I Hope They Serve Beer in Hell,电影,11
Cries and Whispers,电影,11
Blood Done Sign My Name,电影,11
Year One,电影,11
Straight Out of Brooklyn,电影,11
The Ugly Truth,电影,11
Bobby Farrelly,导演,11
Leonard Nimoy,演员,11
Pineapple Express,电影,11
Flawless,电影,11
Martian Child,电影,11
Suspect Zero,电影,11
Michael Peña,演员,11
Steppin: The Movie,电影,11
Joe Pesci,演员,11
Minnie Driver,演员,11
We Need to Talk About Kevin,电影,11
Choke,电影,11
Whiplash,电影,11
Margin Call,电影,11
Jake,关键词,11
Waking Ned,电影,11
The Return of the Living Dead,电影,11
Mallrats,电影,11
James Remar,演员,11
Glenn Close,演员,11
There's Something About Mary,电影,11
Orlando Bloom,演员,11
Hearts in Atlantis,电影,11
Hope Davis,演员,11
Beer League,电影,11
Ulee's Gold,电影,11
Derailed,电影,11
William,关键词,11
Winnie Mandela,电影,11
Tony,关键词,11
Max von Sydow,演员,11
"I Love You, Don't Touch Me!",电影,11
Samantha Morton,演员,11
Interview with the Vampire,电影,11
Cradle Will Rock,电影,11
George and the Dragon,电影,11
Sam Raimi,导演,11
Sunshine Cleaning,电影,11
Stung,电影,11
The Prince of Tides,电影,11
Island,关键词,11
Triple 9,电影,11
Addicted,电影,11
Hayden Panettiere,演员,11
The Vatican Exorcisms,电影,11
Bleeding Hearts,电影,11
Dolphin Tale,电影,11
Brian,关键词,11
Fifty Shades of Black,电影,11
Not Easily Broken,电影,11
Reindeer Games,电影,11
Final Destination 3,电影,11
Chris Columbus,导演,11
Michael Gambon,演员,11
A Walk on the Moon,电影,11
Little Children,电影,11
Daddy's Home,电影,11
My Boss's Daughter,电影,11
"Synecdoche, New York",电影,11
Anjelica Huston,演员,10
Katherine Heigl,演员,10
Sharon Stone,演员,10
Jeremy Northam,演员,10
Detroit,关键词,10
Extreme Movie,电影,10
Marvin's Room,电影,10
Redemption Road,电影,10
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,电影,10
Here On Earth,电影,10
Emma Watson,演员,10
Dutch Kills,电影,10
Jesus,关键词,10
The Judge,电影,10
Chiamatemi Francesco - Il Papa della gente,电影,10
Holly Hunter,演员,10
Rose,关键词,10
"Peace, Propaganda & the Promised Land",电影,10
Sleep Dealer,电影,10
Sarah Jessica Parker,演员,10
Central Station,电影,10
Michelle Rodriguez,演员,10
Newlyweds,电影,10
Wesley Snipes,演员,10
Snow White: A Deadly Summer,电影,10
Land of the Dead,电影,10
Chairman of the Board,电影,10
Charlotte Rampling,演员,10
Open Range,电影,10
Intolerance,电影,10
Harold Ramis,导演,10
Grudge Match,电影,10
Catholic,关键词,10
Santa,关键词,10
Hilary Swank,演员,10
Donald Faison,演员,10
John Krasinski,演员,10
Andie MacDowell,演员,10
Napoleon Dynamite,电影,10
Roadside,电影,10
Mutual Friends,电影,10
Claire Danes,演员,10
The Sound and the Shadow,电影,10
The Brothers Solomon,电影,10
The Evil Dead,电影,10
Sinister 2,电影,10
Switzerland,国家,10
Dragonfly,电影,10
Things We Lost in the Fire,电影,10
White Oleander,电影,10
Djimon Hounsou,演员,10
Private Benjamin,电影,10
Fighting Tommy Riley,电影,10
The Looking Glass,电影,10
3 Backyards,电影,10
The Man Who Shot Liberty Valance,电影,10
The Hunt,电影,10
Black or White,电影,10
1971年,年份,10
Bad Moms,电影,10
Bad Teacher,电影,10
Tony Shalhoub,演员,10
John Heard,演员,10
UHF,电影,10
Vanessa Hudgens,演员,10
Envy,电影,10
Piper Perabo,演员,10
Barry Pepper,演员,10
Jersey,关键词,10
Once Upon a Time in the West,电影,10
The Guilt Trip,电影,10
Helen Hunt,演员,10
Eve,关键词,10
Trekkies,电影,10
Julie Andrews,演员,10
Fear Clinic,电影,10
Inspired,关键词,10
Death,关键词,10
Should've Been Romeo,电影,10
Vincent Cassel,演员,10
"Sex, Lies, and Videotape",电影,10
The Benchwarmers,电影,10
Life as a House,电影,10
Any Given Sunday,电影,10
Gary Sinise,演员,10
For Colored Girls,电影,10
Saint John of Las Vegas,电影,10
Stephen Frears,导演,10
Diane Kruger,演员,10
Plush,电影,10
Paul W.S. Anderson,导演,10
Ben-Hur,电影,10
Anderson,关键词,10
1969年,年份,10
Larry the Cable Guy: Health Inspector,电影,10
Mike Epps,演员,10
Timothy Olyphant,演员,10
Kelly Preston,演员,10
Marcia Gay Harden,演员,10
Joseph Fiennes,演员,10
D.E.B.S.,电影,10
Taye Diggs,演员,10
The Savages,电影,10
Trading Places,电影,10
David Fincher,导演,10
Tilda Swinton,演员,10
Kristen Bell,演员,10
The Slaughter Rule,电影,10
My Baby's Daddy,电影,10
Dakota Fanning,演员,10
The Act of Killing,电影,10
Trainwreck,电影,10
Dolphins and Whales: Tribes of the Ocean,电影,10
Ciarán Hinds,演员,10
Here Comes the Boom,电影,10
1964年,年份,10
Maggie Smith,演员,10
Chris Klein,演员,10
"Surfer, Dude",电影,10
Sunshine State,电影,10
Chiwetel Ejiofor,演员,10
The World Is Mine,电影,10
Ellen Burstyn,演员,10
Call + Response,电影,10
Thirteen Conversations About One Thing,电影,10
Evan Rachel Wood,演员,10
Paul Dano,演员,10
The Kentucky Fried Movie,电影,10
Agent,关键词,10
House of Wax,电影,10
Talk Radio,电影,10
Selma Blair,演员,10
Joan Allen,演员,10
Courteney Cox,演员,10
Michael Rooker,演员,10
Elza,电影,10
Juliette Lewis,演员,10
Neve Campbell,演员,10
Amy Smart,演员,10
Dennis Dugan,演员,10
Cillian Murphy,演员,10
They Came Together,电影,10
Princess,关键词,10
Rachel Getting Married,电影,10
Philomena,电影,10
The Cry of the Owl,电影,10
Michael Angarano,演员,10
Idris Elba,演员,10
An American in Hollywood,电影,10
Top Spin,电影,10
Seven Pounds,电影,10
Breckin Meyer,演员,10
Patricia Arquette,演员,10
Dumb and Dumber To,电影,10
Bruce Dern,演员,10
The Loss of Sexual Innocence,电影,10
August Rush,电影,10
The Salon,电影,10
Network,电影,10
Cabin Fever,电影,10
The Boy Next Door,电影,10
Kristin Scott Thomas,演员,10
Lisa Kudrow,演员,10
Kate Mara,演员,10
Let's Be Cops,电影,10
Aloft,电影,10
Charles S. Dutton,演员,10
Fight Club,电影,10
Ian Holm,演员,10
Election,电影,10
1968年,年份,10
John McTiernan,导演,10
Wes Bentley,演员,10
Oculus,电影,10
Jones,关键词,10
David Cross,导演,10
October Baby,电影,10
16 to Life,电影,10
Emma Roberts,演员,10
The Tooth Fairy,电影,10
When the Game Stands Tall,电影,10
Patricia Clarkson,演员,10
Get Rich or Die Tryin',电影,10
Imagine That,电影,10
Screwed,电影,10
St. Vincent,电影,10
Oscar,关键词,10
Javier Bardem,演员,10
Baby Mama,电影,10
Megan Fox,演员,10
Tommy,关键词,10
John Carpenter,导演,10
Tyrese Gibson,演员,10
Billy Crystal,演员,10
Brett Ratner,演员,10
Facing the Giants,电影,10
Your Highness,电影,10
Freakonomics,电影,10
Rachael Leigh Cook,演员,10
Black,关键词,10
Bette Midler,演员,10
The Dictator,电影,10
When Did You Last See Your Father?,电影,10
Jeremy Renner,演员,10
Boyhood,电影,10
David Duchovny,演员,10
He Got Game,电影,10
Sissy Spacek,演员,10
The In Crowd,电影,10
Our Family Wedding,电影,10
Lindsay Lohan,演员,10
Don't Say a Word,电影,10
John Lithgow,演员,10
Cavite,电影,10
Chow Yun-fat,演员,9
Peter Jackson,导演,9
2016: Obama's America,电影,9
Ian McShane,演员,9
Albert Brooks,演员,9
Diego,关键词,9
John C. McGinley,演员,9
Virginia Madsen,演员,9
Parker Posey,演员,9
Brown,关键词,9
Pennsylvania,关键词,9
Robert Englund,演员,9
3.3分,评分值,9
David Strathairn,演员,9
Michael J. Fox,演员,9
"Lovely, Still",电影,9
Frank Oz,演员,9
Daniel Day-Lewis,演员,9
Jeremy Piven,演员,9
Iraq,关键词,9
Freddy,关键词,9
Alfre Woodard,演员,9
Phillip Noyce,导演,9
Kal Penn,演员,9
Jesse,关键词,9
Jason Sudeikis,演员,9
1973年,年份,9
Harvard,关键词,9
AnnaSophia Robb,演员,9
Anna,关键词,9
Meagan Good,演员,9
Dianne Wiest,演员,9
Hugo Weaving,演员,9
South Africa,国家,9
Burt Reynolds,演员,9
The Real Cancun,电影,9
Aidan Quinn,演员,9
Julie,关键词,9
Jonathan,关键词,9
Liv Tyler,演员,9
Allison Janney,演员,9
Adam Brody,演员,9
Jane,关键词,9
Orleans,关键词,9
Florida,关键词,9
Johnny Knoxville,演员,9
Judy Greer,演员,9
Andy Serkis,演员,9
Victor,关键词,9
Heather Graham,演员,9
Bernie Mac,演员,9
Claire Forlani,演员,9
Alan Alda,演员,9
Neil Patrick Harris,演员,9
Jessica Lange,演员,9
Cliff Curtis,演员,9
Eric Roberts,演员,9
Jason Isaacs,演员,9
Mad Hot Ballroom,电影,9
Dominic West,演员,9
Bruce,关键词,9
Tim,关键词,9
Michael Madsen,演员,9
Garry Marshall,导演,9
Peter Stormare,演员,9
Archaeology of a Woman,电影,9
Billy Connolly,演员,9
Middle,关键词,9
Bonnie Hunt,演员,9
Barbra Streisand,演员,9
Anne Heche,演员,9
3.8分,评分值,9
3.7分,评分值,9
Timothy Spall,演员,9
Rob Cohen,导演,9
The Trials Of Darryl Hunt,电影,9
Cole Hauser,演员,9
Lake of Fire,电影,9
Michelle Monaghan,演员,9
Quentin Tarantino,导演,9
Marlon Wayans,演员,9
Hugh Laurie,演员,9
Sean,关键词,9
Dan Hedaya,演员,9
Dylan Baker,演员,9
Lasse Hallström,导演,9
Oscar Isaac,演员,9
1972年,年份,9
Cam Gigandet,演员,9
Robert Forster,演员,9
Ayurveda: Art of Being,电影,9
Bruce McGill,演员,9
Jim Belushi,演员,9
Michael Biehn,演员,9
Michael Ealy,演员,9
Warren Beatty,演员,9
Mark,关键词,9
Ed and His Dead Mother,电影,9
Rosamund Pike,演员,9
Alan Rickman,演员,9
Chloë Sevigny,演员,9
Movie,关键词,9
Stephen Dorff,演员,9
Connie Nielsen,演员,9
Pink Narcissus,电影,9
Pete Postlethwaite,演员,9
July,关键词,9
Richard Harris,演员,9
Eight,关键词,9
Rufus Sewell,演员,9
Stacy Keach,演员,9
Randy Quaid,演员,9
Bending Steel,电影,9
Chris Pratt,演员,9
Bruce Campbell,演员,9
Iraq for Sale: The War Profiteers,电影,9
M. Night Shyamalan,导演,9
1976年,年份,9
Fred Ward,演员,9
Carter,关键词,9
Miles Teller,演员,9
Rebecca Hall,演员,9
Peter Berg,演员,9
Navy,关键词,9
David Arquette,演员,9
Flywheel,电影,9
Danny Boyle,导演,8
Daniel Radcliffe,演员,8
Rupert Grint,演员,8
Bryan Singer,导演,8
Neil Jordan,导演,8
Ivan Reitman,导演,8
Noah Emmerich,演员,8
Alfred Hitchcock,导演,8
Christopher McDonald,演员,8
Hilary Duff,演员,8
Vinnie Jones,演员,8
Jackie Earle Haley,演员,8
Pete,关键词,8
Timothy Hutton,演员,8
TV Movie,类型,8
Dax Shepard,演员,8
Doug,关键词,8
Restoration,电影,8
John Hawkes,演员,8
Michael Jai White,导演,8
David Cronenberg,导演,8
Alex Kendrick,演员,8
Counting,电影,8
Aaron Taylor-Johnson,演员,8
Bryce Dallas Howard,演员,8
Barney's Great Adventure,电影,8
1974年,年份,8
Kim Cattrall,演员,8
Jay Roach,导演,8
Danny McBride,演员,8
Richard Attenborough,演员,8
Jeffrey Tambor,演员,8
Dennis Farina,演员,8
Gregory Peck,演员,8
Jamie Bell,演员,8
Shannyn Sossamon,演员,8
Mekhi Phifer,演员,8
Chi McBride,演员,8
Antoine Fuqua,导演,8
Marc Forster,导演,8
Billy,关键词,8
Craig T. Nelson,演员,8
Sara Paxton,演员,8
Donald Petrie,导演,8
Debra Messing,演员,8
Roman,关键词,8
Nathan Lane,演员,8
Jennifer Love Hewitt,演员,8
Steven Seagal,演员,8
Marlon Brando,演员,8
Robert Carlyle,演员,8
Gabriel Macht,演员,8
James Spader,演员,8
Jay,关键词,8
Gus Van Sant,演员,8
Anna Paquin,演员,8
Scott Speedman,演员,8
Sisters in Law,电影,8
Toby Kebbell,演员,8
Stephen Herek,导演,8
Elle Fanning,演员,8
The Case of the Grinning Cat,电影,8
Sarah Polley,演员,8
M. Emmet Walsh,演员,8
Paul Sorvino,演员,8
Follows,关键词,8
1965年,年份,8
Daniel,关键词,8
Mena Suvari,演员,8
German,关键词,8
Simon West,导演,8
Sarah,关键词,8
Marion Cotillard,演员,8
Sacha Baron Cohen,演员,8
Terence Stamp,演员,8
Jason Mewes,演员,8
Roland Emmerich,导演,8
Glenne Headly,演员,8
Nicholas Hoult,演员,8
Carey Mulligan,演员,8
Dolph Lundgren,演员,8
Jonathan Frakes,导演,8
Nazi,关键词,8
1963年,年份,8
Brie Larson,演员,8
Ang Lee,导演,8
Danny Trejo,演员,8
Denise Richards,演员,8
Jesse Bradford,演员,8
Tom Berenger,演员,8
Amber Heard,演员,8
Mary McCormack,演员,8
Vivica A. Fox,演员,8
Martin Campbell,导演,8
Connor,关键词,8
Street,关键词,8
David Schwimmer,导演,8
Kathleen Turner,演员,8
Richard Dreyfuss,演员,8
Brad Dourif,演员,8
Rob Corddry,演员,8
David O. Russell,导演,8
The Ballad of Gregorio Cortez,电影,8
James Mangold,导演,8
Diego Luna,演员,8
Eddie Griffin,演员,8
Olivia Williams,演员,8
Mac,关键词,8
Ellen Page,演员,8
Australian,关键词,8
Lou Diamond Phillips,演员,8
Cloris Leachman,演员,8
Ten,关键词,8
Terry Gilliam,演员,8
Gérard Depardieu,演员,8
Rip Torn,演员,8
Sally Hawkins,演员,8
Michael Cera,演员,8
Canadian,关键词,8
Adam Shankman,导演,8
Leslie Nielsen,演员,8
Vanessa Redgrave,演员,8
Thailand,国家,8
Kate,关键词,8
Malcolm McDowell,演员,8
David Spade,演员,8
Bob,关键词,8
Sydney Pollack,导演,8
Haley Joel Osment,演员,8
A LEGO Brickumentary,电影,8
F. Gary Gray,导演,8
Gabrielle Union,演员,8
Giancarlo Esposito,演员,8
Goran Visnjic,演员,8
Zhang Ziyi,演员,8
Mary Elizabeth Winstead,演员,8
Gael García Bernal,演员,8
Kirk,关键词,8
David Gordon Green,导演,8
Christopher Nolan,导演,8
Frank Langella,演员,8
Christoph Waltz,演员,8
Jason Schwartzman,演员,8
Chevy Chase,演员,8
Sam Worthington,演员,8
Tom Sizemore,演员,8
Rhys Ifans,演员,8
Denis Leary,演员,8
Campbell Scott,演员,8
Barry Sonnenfeld,导演,7
Cooper,关键词,7
Irrfan Khan,演员,7
Garrett Hedlund,演员,7
Wes Anderson,导演,7
Jon Heder,演员,7
Sheriff,关键词,7
Frances Fisher,演员,7
Norway,关键词,7
Anne,关键词,7
James Garner,演员,7
Alec Guinness,演员,7
Christopher Lambert,演员,7
Paul Greengrass,导演,7
Matthew Goode,演员,7
Isaiah Washington,演员,7
Ron,关键词,7
Russell Brand,演员,7
Rob Schneider,演员,7
Nick Frost,演员,7
Rupert Everett,演员,7
Michelle Trachtenberg,演员,7
Certifiably Jonathan,电影,7
Chris O'Donnell,演员,7
Guy Ritchie,导演,7
Tim Story,导演,7
Ned Beatty,演员,7
Life,关键词,7
Zach Braff,演员,7
Luke,关键词,7
Frankie Muniz,演员,7
